year,month,larceny,vandalism,sex.offense.force,drug,embezz,burglary,robbery,veh.theft,assault,dis.cond,warrants,trespass,miss.pers,fraud,prostitution,susp.occ,drunk,forgery,loitering,fam.off,weapon,arson,kidnapping,stolen.prop,second.codes,gambling,dui,runaway,liquor,bribery,bad.checks,suicide,extortion,sex.offense.non.force,porn,trea,total
2003,1,2121,562,78,1005,28,492,272,1136,1174,85,869,154,359,279,188,361,76,187,11,8,118,23,19,67,111,4,31,40,17,4,9,7,2,2,0,0,9899
2003,2,2097,483,56,926,21,451,246,1086,1050,72,775,98,329,230,167,380,63,169,14,14,122,17,17,54,91,2,26,26,26,2,6,10,2,6,1,0,9135
2003,3,2427,620,57,695,19,562,302,1412,1231,89,712,124,346,297,105,354,56,188,44,6,112,22,32,76,107,2,20,26,21,2,14,7,4,3,1,0,10095
2003,4,2354,540,55,908,31,558,286,1444,1016,67,779,135,305,317,190,314,56,221,16,12,109,15,25,67,93,0,25,37,32,2,14,5,5,3,0,0,10036
2003,5,2157,525,64,862,21,584,253,1298,1117,70,774,124,311,276,219,374,61,219,11,12,91,29,15,61,99,2,28,32,29,0,11,8,4,3,0,0,9744
2003,6,2265,569,66,749,14,457,271,1221,1060,57,688,119,282,273,122,318,51,182,12,9,86,32,13,72,71,2,12,36,24,1,12,7,3,3,0,0,9159
2003,7,2277,547,54,795,19,458,242,1261,1109,76,793,102,296,291,128,338,60,202,13,6,75,40,38,79,106,4,24,33,19,2,9,9,4,0,0,0,9509
2003,8,2258,573,45,868,13,488,268,1408,1139,64,827,94,299,289,133,363,40,214,19,7,108,18,45,70,121,2,22,24,32,3,13,8,3,2,0,0,9880
2003,9,2177,502,60,846,21,441,271,1376,1235,94,829,133,283,284,210,387,43,166,12,16,112,23,36,74,126,5,24,30,24,3,9,9,6,3,1,0,9871
2003,10,2222,566,59,844,17,566,284,1311,1232,77,798,124,306,257,177,353,63,205,17,5,123,29,30,64,122,1,20,37,28,4,14,4,5,1,0,0,9965
2003,11,2103,475,56,713,16,513,241,1178,1097,77,689,111,298,223,165,308,49,172,2,6,114,24,25,63,122,2,31,22,16,1,12,12,2,1,0,0,8939
2003,12,1935,486,48,706,20,477,268,1194,1001,58,546,116,285,269,148,346,44,195,4,15,111,21,24,53,104,1,26,23,13,4,11,7,3,1,0,0,8563
2004,1,2120,541,69,972,13,534,268,1371,1095,66,842,110,348,246,198,351,52,209,7,11,106,29,24,64,100,4,19,30,40,5,13,7,9,4,0,0,9877
2004,2,1935,532,61,944,10,478,242,1322,1093,59,691,109,307,250,110,321,57,167,12,11,110,20,33,43,102,3,29,27,28,5,5,6,3,3,0,0,9128
2004,3,1971,582,79,909,17,604,299,1488,1236,99,838,92,368,285,133,381,60,200,15,5,125,27,33,57,130,0,17,48,46,4,11,7,3,1,0,0,10170
2004,4,2061,519,60,765,23,574,311,1520,1121,60,751,116,350,248,133,385,50,192,24,7,123,20,21,54,131,1,19,54,24,6,7,9,1,4,0,0,9744
2004,5,2101,592,70,907,16,589,297,1606,1141,105,771,115,313,241,147,376,68,190,13,8,118,23,28,68,115,2,24,51,59,5,7,14,5,1,0,0,10186
2004,6,2233,554,63,622,14,530,274,1442,990,66,642,97,311,219,98,372,57,178,47,2,99,23,26,52,115,3,21,39,21,2,4,3,5,4,0,0,9228
2004,7,2328,556,59,777,18,569,292,1475,1070,59,677,89,297,265,102,358,44,185,21,13,94,27,19,65,105,1,16,30,9,2,5,7,4,3,0,0,9641
2004,8,2165,569,42,879,15,572,282,1534,1039,62,710,108,227,233,111,392,50,175,10,7,80,28,21,62,97,2,15,19,37,3,7,6,8,2,2,0,9571
2004,9,2049,524,49,828,16,496,249,1405,1066,45,565,93,278,203,170,398,44,197,28,16,91,18,17,54,109,1,23,38,22,1,2,7,8,4,0,0,9114
2004,10,1923,523,54,856,17,575,312,1539,1115,91,580,91,351,174,105,390,56,194,12,14,108,27,18,36,119,3,24,39,22,4,4,9,2,2,0,0,9389
2004,11,1692,473,37,700,18,609,275,1554,990,58,530,86,291,190,94,350,29,189,21,9,90,20,15,40,95,3,23,34,20,1,6,12,5,0,1,0,8560
2004,12,1927,531,55,738,24,623,279,1628,943,44,517,85,234,191,126,415,33,216,26,6,108,18,22,46,126,2,14,22,22,1,8,15,4,3,0,0,9052
2005,1,2038,493,63,840,22,698,302,1685,980,85,575,99,246,231,91,401,68,222,48,11,112,21,20,56,93,2,19,39,34,3,7,6,0,2,0,0,9612
2005,2,1734,462,44,707,13,547,242,1366,868,51,532,67,256,211,122,357,39,171,37,5,102,17,31,40,73,3,18,39,26,0,7,5,3,3,2,0,8200
2005,3,2035,585,64,829,16,654,255,1476,949,78,631,77,302,202,110,430,41,207,28,8,116,19,21,46,86,1,25,37,26,1,8,8,3,6,2,0,9382
2005,4,1920,581,64,734,20,551,270,1594,982,51,605,87,301,208,99,420,51,204,19,1,122,24,14,41,88,7,9,39,20,1,5,7,2,0,0,0,9141
2005,5,2181,658,59,646,16,622,303,1590,1040,57,582,94,352,207,61,392,56,168,22,5,92,13,22,56,95,2,12,42,21,6,5,12,2,3,0,0,9494
2005,6,2253,622,48,661,15,586,276,1394,943,59,546,80,283,208,95,359,54,185,7,2,114,23,26,40,80,6,16,33,12,3,11,6,5,3,0,0,9054
2005,7,2307,643,48,599,13,691,300,1429,996,43,519,98,321,178,69,357,61,176,29,4,107,23,29,50,74,0,11,23,29,5,11,7,3,1,0,0,9254
2005,8,2406,616,44,721,11,595,360,1412,877,56,565,96,275,214,125,396,44,167,36,6,115,20,27,43,64,1,23,15,20,2,9,6,4,2,0,0,9373
2005,9,2197,559,56,686,15,531,331,1430,1040,69,521,80,312,216,114,376,54,172,13,4,112,17,22,36,82,4,14,32,21,7,10,6,5,1,0,0,9145
2005,10,2169,655,50,800,10,526,340,1774,1083,43,607,98,352,182,87,418,67,174,9,4,146,18,22,49,106,0,15,38,24,5,6,4,3,0,1,0,9885
2005,11,1996,581,61,704,19,511,310,1723,948,62,512,68,389,192,68,355,59,174,10,9,116,19,23,32,71,2,14,31,20,1,11,6,4,0,0,0,9101
2005,12,2083,558,37,606,27,559,277,1321,895,33,513,90,314,245,62,432,42,189,15,5,87,17,19,51,89,1,20,20,25,4,11,6,0,3,0,0,8656
2006,1,2351,601,65,774,26,527,349,609,995,44,585,104,341,234,58,405,61,218,22,13,118,24,26,55,98,1,34,19,22,3,11,6,5,3,0,0,8807
2006,2,2077,602,54,763,22,515,317,572,961,41,543,79,264,245,73,347,51,194,11,11,108,13,30,46,100,1,25,28,11,2,8,7,3,4,0,0,8128
2006,3,2335,621,36,768,16,576,337,565,1105,57,600,89,344,234,93,418,65,210,7,6,113,16,18,64,126,4,23,18,15,0,9,7,2,3,0,0,8900
2006,4,2397,741,50,681,15,616,362,572,1068,52,565,68,351,222,103,415,63,161,4,6,114,19,31,67,111,2,15,28,20,2,9,6,7,1,0,0,8944
2006,5,2344,678,47,687,19,621,358,547,1121,28,499,88,351,218,93,425,53,194,5,7,108,27,16,53,121,3,18,17,9,3,5,10,4,5,0,0,8782
2006,6,2272,602,55,699,20,600,432,651,1093,27,542,109,394,229,81,393,65,205,8,4,116,14,27,49,138,6,25,45,37,0,7,12,5,3,1,0,8966
2006,7,2209,660,60,746,14,656,372,673,1112,41,537,94,286,228,102,441,59,197,17,9,116,24,32,37,129,3,17,30,30,1,9,7,5,3,1,0,8957
2006,8,2408,687,48,988,19,658,372,687,1099,49,629,107,308,234,184,371,63,208,13,2,123,24,31,47,136,2,33,34,22,5,6,2,3,3,2,0,9607
2006,9,2296,672,49,734,15,562,341,570,1095,54,527,83,366,203,125,354,62,179,0,13,106,27,25,44,104,1,14,50,19,6,6,9,6,2,0,0,8719
2006,10,2386,664,49,797,15,508,313,628,1052,48,523,103,420,199,127,411,57,166,3,3,99,27,27,48,141,3,21,36,25,5,3,9,5,0,1,0,8922
2006,11,2110,560,46,752,26,585,316,604,870,48,515,90,425,156,151,384,51,176,3,8,87,11,28,33,96,1,20,43,16,3,3,5,1,2,1,0,8226
2006,12,2167,600,40,680,22,580,262,613,878,32,433,88,403,197,100,411,53,198,3,7,116,14,27,32,75,1,21,34,22,6,11,6,3,0,0,0,8135
2007,1,1979,648,64,964,26,501,307,523,1007,44,646,111,317,193,115,423,48,249,6,5,103,23,27,46,128,1,16,24,35,6,11,13,2,7,0,0,8618
2007,2,1643,531,46,1039,27,382,278,466,946,51,616,87,321,205,162,398,48,192,9,13,104,12,26,33,121,6,24,22,29,6,7,10,3,2,1,0,7866
2007,3,2065,682,57,913,15,426,293,511,1067,42,687,132,408,182,146,427,67,260,24,9,101,17,29,46,160,6,27,21,34,3,4,13,2,1,1,0,8878
2007,4,2018,612,54,858,16,476,313,408,1078,43,603,105,319,203,160,371,51,236,7,2,113,20,18,48,124,2,23,25,40,4,0,7,3,0,0,0,8360
2007,5,2125,643,52,815,15,426,302,376,1017,50,563,133,398,196,142,425,70,209,40,6,127,29,33,44,97,0,19,25,38,5,8,7,7,4,0,0,8446
2007,6,2196,644,46,746,27,448,337,488,1024,63,513,102,303,182,134,376,53,232,68,6,100,21,36,54,107,6,13,20,28,6,7,8,4,2,0,0,8400
2007,7,2536,738,53,748,22,509,393,633,1057,46,503,93,313,175,160,384,53,192,79,9,92,29,29,37,100,3,15,35,28,5,8,8,4,4,0,0,9093
2007,8,2463,604,47,750,28,474,373,707,1032,46,601,91,333,201,145,433,46,197,45,7,111,16,20,32,96,2,25,20,28,3,4,6,5,3,0,0,8994
2007,9,2391,639,50,862,23,385,329,692,1140,64,536,95,339,195,207,424,49,201,63,2,127,27,33,54,145,3,37,17,33,5,9,10,5,2,2,0,9195
2007,10,2292,690,41,997,31,456,329,619,1102,48,647,85,329,222,163,393,71,209,46,5,118,18,35,54,174,2,35,20,41,7,2,9,3,6,0,0,9299
2007,11,2029,596,64,1063,22,482,373,544,996,42,600,86,313,197,180,390,57,203,21,8,111,23,29,41,122,3,52,19,35,3,4,11,3,6,0,0,8728
2007,12,2033,539,57,805,17,489,400,493,1052,42,590,78,331,198,159,356,58,212,22,7,111,11,30,38,101,3,27,25,32,3,5,9,0,2,0,0,8335
