Date,FoodInd,BevInd,IndustInd
1991M01,105.18,87.1,79.3
1991M02,106.44,84.19,78.51
1991M03,104.77,83.92,77.95
1991M04,101.73,81.81,79.59
1991M05,97.97,76.69,78.38
1991M06,95.54,74.53,77.58
1991M07,92.94,71.71,76.66
1991M08,93.61,75.53,74.44
1991M09,95.81,81.72,73.46
1991M10,95.24,81.14,72.44
1991M11,96.08,83.29,72.08
1991M12,95.43,83.63,70.53
1992M01,96.03,78.67,70.5
1992M02,96.18,72.21,71.69
1992M03,95.77,71.44,72.47
1992M04,93.98,70.02,75.68
1992M05,95.89,67.66,76.19
1992M06,95.22,65.44,75.67
1992M07,97.31,69.55,77.3
1992M08,101.86,71.21,75.94
1992M09,104.55,70.57,75.9
1992M10,98.9,71.21,74.29
1992M11,96.42,74.18,72.93
1992M12,93.69,79.15,73.93
1993M01,94.55,75.92,73.65
1993M02,93.74,71.94,75.28
1993M03,95.31,68.99,75.21
1993M04,97.19,66.89,76.02
1993M05,98.25,67.87,77.04
1993M06,96.76,66.44,76.2
1993M07,98.7,72.52,77.13
1993M08,96.96,77.5,75.67
1993M09,96.03,84.91,74.28
1993M10,94.74,84.43,73.9
1993M11,95.52,85.47,72.62
1993M12,98.06,87.57,73.35
1994M01,99.81,82.28,74.52
1994M02,101.24,83.78,77
1994M03,99.87,88.92,77.84
1994M04,100.55,90.35,80.61
1994M05,101.35,109.52,83.18
1994M06,99.53,123.34,86.66
1994M07,97.64,160.76,87.27
1994M08,97.45,155.08,86.86
1994M09,99.36,167.11,88.91
1994M10,98.61,155.68,90.02
1994M11,96.58,145.12,94.13
1994M12,99.43,132.13,95.7
1995M01,98.77,135.16,98.86
1995M02,100.08,136.47,96.69
1995M03,101.28,142.32,98.08
1995M04,100.62,139.67,99.66
1995M05,100.67,136.84,97.46
1995M06,105.01,126.86,96.54
1995M07,108.92,119.87,95.35
1995M08,106.81,126.93,93.52
1995M09,107.34,117.61,91.28
1995M10,109.25,116.17,88.74
1995M11,106.52,115.92,90.3
1995M12,107.34,104.17,88.37
1996M01,109.45,103.53,86.22
1996M02,112.04,110.63,86.53
1996M03,112.9,105.36,88.01
1996M04,120.62,109.07,88.76
1996M05,122.98,112.87,90.48
1996M06,118.25,110.82,86.22
1996M07,116.35,104.24,85.6
1996M08,114.44,106.26,87.35
1996M09,106.24,103.22,87.49
1996M10,103.5,104,86.57
1996M11,103.47,103.08,86.88
1996M12,104.1,100.28,86.19
1997M01,107.01,104.42,88.61
1997M02,106.12,115.49,89.93
1997M03,107.32,128.91,91.59
1997M04,107.06,133.9,89.05
1997M05,106.67,155.94,89.6
1997M06,102.16,142.21,86.82
1997M07,100.29,133.47,86.49
1997M08,99.31,131.57,86.64
1997M09,99.17,133.58,84.49
1997M10,99.5,127.24,82.41
1997M11,99.81,125.59,82.25
1997M12,96.52,133.95,77.36
1998M01,95.45,136.8,72.52
1998M02,95.71,137.14,74.83
1998M03,95.17,128.24,75.62
1998M04,96.65,126.13,75.82
1998M05,97.44,121.76,74.75
1998M06,95.69,116.46,72.68
1998M07,93.29,112.79,71.29
1998M08,88.27,114.99,71.08
1998M09,87.23,111.39,70.59
1998M10,87.95,108.9,67.6
1998M11,87.44,109.64,67.44
1998M12,84.46,108.82,66.6
1999M01,86.4,106.97,66.58
1999M02,82.54,102.51,66.58
1999M03,80.86,99,67.57
1999M04,80.83,93.94,67.99
1999M05,80.53,92.16,69.43
1999M06,77.59,91.71,68.67
1999M07,75.39,85.66,70.94
1999M08,79.48,82.92,72.46
1999M09,80.42,83.71,75.87
1999M10,79.66,88.27,76.45
1999M11,79.24,93.05,76.27
1999M12,78.92,92.49,77.14
2000M01,82.21,84.54,78.39
2000M02,83.3,80.36,79.38
2000M03,83.24,81.55,79.17
2000M04,85.68,78.92,77.19
2000M05,85.62,78.83,78.46
2000M06,84.3,76.47,76.65
2000M07,82.12,76.96,77.36
2000M08,81.04,72.25,76.66
2000M09,79.91,72.44,79.85
2000M10,78.82,71.08,77.2
2000M11,78.33,68.51,76.72
2000M12,80.89,66.28,75.84
2001M01,80.76,68.11,77.84
2001M02,80.17,72.44,77.32
2001M03,80.92,70.68,76.36
